id,grade,cal_year,measure,score,time,program_year,student_year,domain_type,grade_diff,time_c
10810,8,2008,rc,3.9,1,1,10810_2008,literacy,-4.1,-0.5
10810,8,2008,lwid,8,1,1,10810_2008,literacy,0,-0.5
10810,8,2008,wa,10.2,1,1,10810_2008,literacy,2.1999999999999993,-0.5
10810,8,2008,rf,4.4,1,1,10810_2008,literacy,-3.5999999999999996,-0.5
10810,8,2008,cap,7.2,1,1,10810_2008,literacy,-0.7999999999999998,-0.5
10810,8,2008,punc,6.3,1,1,10810_2008,literacy,-1.7000000000000002,-0.5
10810,8,2008,ue,7.2,1,1,10810_2008,literacy,-0.7999999999999998,-0.5
10810,8,2008,lang,6.9,1,1,10810_2008,literacy,-1.0999999999999996,-0.5
10810,8,2008,wf,5.3,1,1,10810_2008,literacy,-2.7,-0.5
10810,8,2008,ws,3.5,1,1,10810_2008,literacy,-4.5,-0.5
10810,8,2008,ce,3.9,1,1,10810_2008,math,-4.1,-0.5
10810,8,2008,psdi,4.2,1,1,10810_2008,math,-3.8,-0.5
10810,8,2008,comp,3.6,1,1,10810_2008,math,-4.4,-0.5
10810,8,2008,maths,3.9,1,1,10810_2008,math,-4.1,-0.5
10810,8,2008,calc,4.1,1,1,10810_2008,math,-3.9000000000000004,-0.5
10810,8,2008,mf,5,1,1,10810_2008,math,-3,-0.5
10810,8,2008,rc,5.3,2,1,10810_2008,literacy,-2.7,0.5
10810,8,2008,lwid,7.2,2,1,10810_2008,literacy,-0.7999999999999998,0.5
10810,8,2008,wa,18,2,1,10810_2008,literacy,10,0.5
10810,8,2008,rf,6.1,2,1,10810_2008,literacy,-1.9000000000000004,0.5
10810,8,2008,cap,6.4,2,1,10810_2008,literacy,-1.5999999999999996,0.5
10810,8,2008,punc,2.4,2,1,10810_2008,literacy,-5.6,0.5
10810,8,2008,ue,3.6,2,1,10810_2008,literacy,-4.4,0.5
10810,8,2008,lang,4.1,2,1,10810_2008,literacy,-3.9000000000000004,0.5
10810,8,2008,wf,7.1,2,1,10810_2008,literacy,-0.9000000000000004,0.5
10810,8,2008,ws,9.7,2,1,10810_2008,literacy,1.6999999999999993,0.5
10810,8,2008,ce,4.2,2,1,10810_2008,math,-3.8,0.5
10810,8,2008,psdi,3.6,2,1,10810_2008,math,-4.4,0.5
10810,8,2008,comp,7.5,2,1,10810_2008,math,-0.5,0.5
10810,8,2008,maths,5,2,1,10810_2008,math,-3,0.5
10810,8,2008,calc,4.1,2,1,10810_2008,math,-3.9000000000000004,0.5
10810,8,2008,mf,8.2,2,1,10810_2008,math,0.1999999999999993,0.5
20810,4,2008,rc,2.9,1,1,20810_2008,literacy,-1.1,-0.5
20810,4,2008,lwid,4.8,1,1,20810_2008,literacy,0.7999999999999998,-0.5
20810,4,2008,wa,4.3,1,1,20810_2008,literacy,0.2999999999999998,-0.5
20810,4,2008,rf,4.7,1,1,20810_2008,literacy,0.7000000000000002,-0.5
20810,4,2008,cap,1.1,1,1,20810_2008,literacy,-2.9,-0.5
20810,4,2008,punc,3.1,1,1,20810_2008,literacy,-0.8999999999999999,-0.5
20810,4,2008,ue,2,1,1,20810_2008,literacy,-2,-0.5
20810,4,2008,lang,2.1,1,1,20810_2008,literacy,-1.9,-0.5
20810,4,2008,wf,3.3,1,1,20810_2008,literacy,-0.7000000000000002,-0.5
20810,4,2008,ws,2,1,1,20810_2008,literacy,-2,-0.5
20810,4,2008,ce,2.1,1,1,20810_2008,math,-1.9,-0.5
20810,4,2008,psdi,1.9,1,1,20810_2008,math,-2.1,-0.5
20810,4,2008,comp,2.9,1,1,20810_2008,math,-1.1,-0.5
20810,4,2008,maths,2.3,1,1,20810_2008,math,-1.7000000000000002,-0.5
20810,4,2008,calc,3.2,1,1,20810_2008,math,-0.7999999999999998,-0.5
20810,4,2008,mf,2.9,1,1,20810_2008,math,-1.1,-0.5
20810,4,2008,rc,3.8,2,1,20810_2008,literacy,-0.20000000000000018,0.5
20810,4,2008,lwid,5.2,2,1,20810_2008,literacy,1.2000000000000002,0.5
20810,4,2008,wa,6.8,2,1,20810_2008,literacy,2.8,0.5
20810,4,2008,rf,8.7,2,1,20810_2008,literacy,4.699999999999999,0.5
20810,4,2008,cap,2.8,2,1,20810_2008,literacy,-1.2000000000000002,0.5
20810,4,2008,punc,2.2,2,1,20810_2008,literacy,-1.7999999999999998,0.5
20810,4,2008,ue,2.6,2,1,20810_2008,literacy,-1.4,0.5
20810,4,2008,lang,2.4,2,1,20810_2008,literacy,-1.6,0.5
20810,4,2008,wf,4.2,2,1,20810_2008,literacy,0.20000000000000018,0.5
20810,4,2008,ws,5,2,1,20810_2008,literacy,1,0.5
20810,4,2008,ce,3.4,2,1,20810_2008,math,-0.6000000000000001,0.5
20810,4,2008,psdi,3,2,1,20810_2008,math,-1,0.5
20810,4,2008,comp,4.2,2,1,20810_2008,math,0.20000000000000018,0.5
20810,4,2008,maths,3.5,2,1,20810_2008,math,-0.5,0.5
20810,4,2008,calc,3.8,2,1,20810_2008,math,-0.20000000000000018,0.5
20810,4,2008,mf,9.7,2,1,20810_2008,math,5.699999999999999,0.5
30810,7,2008,rc,6.7,1,1,30810_2008,literacy,-0.2999999999999998,-0.5
30810,7,2008,lwid,8,1,1,30810_2008,literacy,1,-0.5
30810,7,2008,wa,5.5,1,1,30810_2008,literacy,-1.5,-0.5
30810,7,2008,rf,9.7,1,1,30810_2008,literacy,2.6999999999999993,-0.5
30810,7,2008,cap,7.8,1,1,30810_2008,literacy,0.7999999999999998,-0.5
30810,7,2008,punc,13,1,1,30810_2008,literacy,6,-0.5
30810,7,2008,ue,9.2,1,1,30810_2008,literacy,2.1999999999999993,-0.5
